Time to set up network: 3.6086730957
Node 16 transferred 1 to Node 39 (final dest: Node 24, left: 0)
Node 90 transferred 1 to Node 29 (final dest: Node 29, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 6)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 4)
Node 54 transferred 5 to Node 22 (final dest: Node 21, left: 0)
Node 54 transferred 2 to Node 30 (final dest: Node 97, left: 8)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 6)
Node 71 transferred 1 to Node 10 (final dest: Node 16, left: 0)
Node 80 transferred 2 to Node 35 (final dest: Node 16, left: 0)
Node 80 transferred 3 to Node 35 (final dest: Node 1, left: 1)
Node 80 transferred 3 to Node 77 (final dest: Node 77, left: 0)
Node 39 transferred 2 to Node 16 (final dest: Node 7, left: 0)
Node 39 transferred 1 to Node 50 (final dest: Node 45, left: 2)
Node 42 transferred 2 to Node 75 (final dest: Node 75, left: 2)
Node 75 transferred 2 to Node 42 (final dest: Node 65, left: 0)
Node 89 transferred 1 to Node 20 (final dest: Node 58, left: 2)
Node 48 transferred 3 to Node 4 (final dest: Node 79, left: 0)
Node 88 transferred 1 to Node 48 (final dest: Node 65, left: 0)
Node 49 transferred 3 to Node 76 (final dest: Node 76, left: 0)
Node 63 transferred 4 to Node 54 (final dest: Node 18, left: 5)
Node 52 transferred 1 to Node 38 (final dest: Node 35, left: 0)
Node 52 transferred 1 to Node 59 (final dest: Node 59, left: 0)
Node 65 transferred 1 to Node 48 (final dest: Node 26, left: 0)
Node 65 transferred 3 to Node 48 (final dest: Node 25, left: 3)
Node 96 transferred 3 to Node 55 (final dest: Node 55, left: 0)
Node 8 transferred 2 to Node 14 (final dest: Node 39, left: 0)
Node 12 transferred 1 to Node 47 (final dest: Node 74, left: 1)
Node 20 transferred 1 to Node 89 (final dest: Node 35, left: 0)
Node 28 transferred 1 to Node 14 (final dest: Node 72, left: 2)
Node 55 transferred 1 to Node 96 (final dest: Node 31, left: 0)
Node 60 transferred 1 to Node 25 (final dest: Node 25, left: 1)
Node 92 transferred 1 to Node 55 (final dest: Node 77, left: 2)
Iteration: 4
Node 1 transferred 2 to Node 3 (final dest: Node 35, left: 2)
Node 2 transferred 1 to Node 61 (final dest: Node 3, left: 2)
Node 3 transferred 4 to Node 69 (final dest: Node 10, left: 0)
Node 3 transferred 2 to Node 12 (final dest: Node 25, left: 0)
Node 64 transferred 1 to Node 22 (final dest: Node 10, left: 1)
Node 6 transferred 4 to Node 7 (final dest: Node 47, left: 2)
Node 74 transferred 3 to Node 33 (final dest: Node 33, left: 6)
Node 11 transferred 1 to Node 65 (final dest: Node 65, left: 0)
Node 73 transferred 1 to Node 68 (final dest: Node 61, left: 0)
Node 94 transferred 1 to Node 56 (final dest: Node 29, left: 1)
Node 32 transferred 2 to Node 80 (final dest: Node 80, left: 1)
Node 16 transferred 2 to Node 97 (final dest: Node 7, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 5)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 3)
Node 54 transferred 2 to Node 30 (final dest: Node 97, left: 6)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 5)
Node 38 transferred 1 to Node 52 (final dest: Node 52, left: 2)
Node 38 transferred 2 to Node 32 (final dest: Node 35, left: 0)
Node 80 transferred 1 to Node 35 (final dest: Node 1, left: 0)
Node 39 transferred 1 to Node 50 (final dest: Node 45, left: 1)
Node 42 transferred 2 to Node 75 (final dest: Node 75, left: 0)
Node 42 transferred 8 to Node 95 (final dest: Node 65, left: 2)
Node 75 transferred 2 to Node 42 (final dest: Node 80, left: 8)
Node 89 transferred 1 to Node 20 (final dest: Node 58, left: 1)
Node 89 transferred 4 to Node 32 (final dest: Node 35, left: 1)
Node 48 transferred 1 to Node 65 (final dest: Node 65, left: 0)
Node 63 transferred 4 to Node 54 (final dest: Node 18, left: 1)
Node 65 transferred 3 to Node 48 (final dest: Node 25, left: 0)
Node 96 transferred 3 to Node 45 (final dest: Node 94, left: 3)
Node 10 transferred 1 to Node 71 (final dest: Node 31, left: 1)
Node 10 transferred 4 to Node 30 (final dest: Node 16, left: 0)
Node 12 transferred 1 to Node 47 (final dest: Node 74, left: 0)
Node 14 transferred 2 to Node 50 (final dest: Node 39, left: 2)
Node 20 transferred 1 to Node 89 (final dest: Node 62, left: 1)
Node 28 transferred 1 to Node 14 (final dest: Node 72, left: 1)
Node 60 transferred 1 to Node 25 (final dest: Node 25, left: 0)
Node 92 transferred 1 to Node 55 (final dest: Node 77, left: 1)
Iteration: 5
Node 1 transferred 2 to Node 3 (final dest: Node 35, left: 0)
Node 2 transferred 1 to Node 61 (final dest: Node 3, left: 1)
Node 35 transferred 4 to Node 70 (final dest: Node 1, left: 0)
Node 69 transferred 1 to Node 10 (final dest: Node 10, left: 3)
Node 64 transferred 1 to Node 22 (final dest: Node 10, left: 0)
Node 6 transferred 2 to Node 7 (final dest: Node 47, left: 0)
Node 74 transferred 3 to Node 33 (final dest: Node 33, left: 3)
Node 94 transferred 1 to Node 56 (final dest: Node 29, left: 0)
Node 32 transferred 1 to Node 80 (final dest: Node 80, left: 0)
Node 32 transferred 1 to Node 80 (final dest: Node 35, left: 1)
Node 30 transferred 2 to Node 16 (final dest: Node 16, left: 2)
Node 97 transferred 2 to Node 2 (final dest: Node 7, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 4)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 2)
Node 54 transferred 2 to Node 30 (final dest: Node 97, left: 4)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 4)
Node 68 transferred 4 to Node 46 (final dest: Node 61, left: 1)
Node 38 transferred 1 to Node 52 (final dest: Node 52, left: 1)
Node 39 transferred 1 to Node 50 (final dest: Node 45, left: 0)
Node 42 transferred 2 to Node 95 (final dest: Node 65, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 80, left: 6)
Node 89 transferred 1 to Node 20 (final dest: Node 58, left: 0)
Node 89 transferred 1 to Node 32 (final dest: Node 35, left: 0)
Node 48 transferred 6 to Node 13 (final dest: Node 26, left: 0)
Node 63 transferred 1 to Node 54 (final dest: Node 18, left: 0)
Node 96 transferred 3 to Node 45 (final dest: Node 94, left: 0)
Node 10 transferred 1 to Node 71 (final dest: Node 31, left: 0)
Node 12 transferred 1 to Node 25 (final dest: Node 25, left: 1)
Node 14 transferred 2 to Node 50 (final dest: Node 39, left: 0)
Node 20 transferred 1 to Node 89 (final dest: Node 62, left: 0)
Node 28 transferred 1 to Node 14 (final dest: Node 72, left: 0)
Node 47 transferred 2 to Node 37 (final dest: Node 74, left: 0)
Node 92 transferred 1 to Node 55 (final dest: Node 77, left: 0)
Iteration: 6
Node 2 transferred 1 to Node 61 (final dest: Node 3, left: 0)
Node 2 transferred 2 to Node 7 (final dest: Node 7, left: 0)
Node 3 transferred 2 to Node 70 (final dest: Node 35, left: 2)
Node 69 transferred 1 to Node 10 (final dest: Node 10, left: 2)
Node 70 transferred 2 to Node 3 (final dest: Node 1, left: 2)
Node 37 transferred 1 to Node 21 (final dest: Node 74, left: 1)
Node 74 transferred 3 to Node 33 (final dest: Node 33, left: 0)
Node 50 transferred 2 to Node 14 (final dest: Node 45, left: 1)
Node 94 transferred 1 to Node 56 (final dest: Node 44, left: 2)
Node 13 transferred 6 to Node 26 (final dest: Node 26, left: 0)
Node 32 transferred 1 to Node 80 (final dest: Node 35, left: 0)
Node 32 transferred 1 to Node 80 (final dest: Node 35, left: 4)
Node 30 transferred 2 to Node 16 (final dest: Node 16, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 3)
Node 22 transferred 5 to Node 1 (final dest: Node 10, left: 0)
Node 95 transferred 2 to Node 23 (final dest: Node 65, left: 8)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 1)
Node 54 transferred 2 to Node 30 (final dest: Node 97, left: 2)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 3)
Node 68 transferred 1 to Node 46 (final dest: Node 61, left: 0)
Node 71 transferred 2 to Node 31 (final dest: Node 31, left: 0)
Node 38 transferred 1 to Node 52 (final dest: Node 52, left: 0)
Node 39 transferred 1 to Node 50 (final dest: Node 24, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 80, left: 4)
Node 89 transferred 2 to Node 32 (final dest: Node 62, left: 0)
Node 48 transferred 6 to Node 13 (final dest: Node 25, left: 0)
Node 96 transferred 2 to Node 45 (final dest: Node 31, left: 0)
Node 12 transferred 1 to Node 25 (final dest: Node 25, left: 0)
Node 14 transferred 2 to Node 50 (final dest: Node 72, left: 1)
Node 20 transferred 1 to Node 89 (final dest: Node 37, left: 0)
Node 20 transferred 3 to Node 71 (final dest: Node 58, left: 1)
Node 55 transferred 4 to Node 96 (final dest: Node 77, left: 1)
Node 56 transferred 5 to Node 5 (final dest: Node 29, left: 0)
Iteration: 7
Node 1 transferred 2 to Node 3 (final dest: Node 10, left: 3)
Node 61 transferred 3 to Node 70 (final dest: Node 3, left: 2)
Node 3 transferred 2 to Node 70 (final dest: Node 35, left: 0)
Node 69 transferred 1 to Node 10 (final dest: Node 10, left: 1)
Node 70 transferred 2 to Node 3 (final dest: Node 1, left: 0)
Node 37 transferred 1 to Node 21 (final dest: Node 74, left: 0)
Node 5 transferred 5 to Node 34 (final dest: Node 29, left: 0)
Node 50 transferred 1 to Node 14 (final dest: Node 45, left: 0)
Node 50 transferred 1 to Node 39 (final dest: Node 39, left: 3)
Node 94 transferred 1 to Node 56 (final dest: Node 44, left: 1)
Node 32 transferred 2 to Node 80 (final dest: Node 35, left: 2)
Node 45 transferred 1 to Node 17 (final dest: Node 31, left: 1)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 2)
Node 95 transferred 2 to Node 23 (final dest: Node 65, left: 6)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 0)
Node 54 transferred 2 to Node 30 (final dest: Node 97, left: 0)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 2)
Node 80 transferred 2 to Node 35 (final dest: Node 35, left: 0)
Node 46 transferred 5 to Node 97 (final dest: Node 61, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 80, left: 2)
Node 89 transferred 1 to Node 32 (final dest: Node 37, left: 0)
Node 14 transferred 1 to Node 50 (final dest: Node 72, left: 0)
Node 20 transferred 1 to Node 71 (final dest: Node 58, left: 0)
Node 55 transferred 1 to Node 96 (final dest: Node 77, left: 0)
Iteration: 8
Node 1 transferred 2 to Node 3 (final dest: Node 10, left: 1)
Node 61 transferred 2 to Node 70 (final dest: Node 3, left: 0)
Node 3 transferred 2 to Node 1 (final dest: Node 1, left: 2)
Node 69 transferred 1 to Node 10 (final dest: Node 10, left: 0)
Node 70 transferred 4 to Node 35 (final dest: Node 35, left: 0)
Node 34 transferred 2 to Node 44 (final dest: Node 29, left: 3)
Node 50 transferred 1 to Node 39 (final dest: Node 39, left: 2)
Node 50 transferred 1 to Node 14 (final dest: Node 24, left: 0)
Node 94 transferred 1 to Node 56 (final dest: Node 44, left: 0)
Node 32 transferred 2 to Node 80 (final dest: Node 35, left: 0)
Node 32 transferred 1 to Node 37 (final dest: Node 37, left: 0)
Node 97 transferred 4 to Node 2 (final dest: Node 61, left: 1)
Node 45 transferred 1 to Node 17 (final dest: Node 31, left: 0)
Node 21 transferred 2 to Node 33 (final dest: Node 74, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 1)
Node 95 transferred 2 to Node 23 (final dest: Node 65, left: 4)
Node 27 transferred 1 to Node 30 (final dest: Node 74, left: 6)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 1)
Node 71 transferred 2 to Node 31 (final dest: Node 58, left: 2)
Node 75 transferred 2 to Node 42 (final dest: Node 80, left: 0)
Node 96 transferred 3 to Node 45 (final dest: Node 77, left: 2)
Node 14 transferred 2 to Node 8 (final dest: Node 45, left: 1)
Iteration: 9
Node 1 transferred 1 to Node 3 (final dest: Node 10, left: 0)
Node 3 transferred 2 to Node 1 (final dest: Node 1, left: 0)
Node 70 transferred 2 to Node 3 (final dest: Node 3, left: 3)
Node 34 transferred 2 to Node 44 (final dest: Node 29, left: 1)
Node 50 transferred 1 to Node 39 (final dest: Node 39, left: 1)
Node 32 transferred 2 to Node 80 (final dest: Node 62, left: 0)
Node 30 transferred 2 to Node 16 (final dest: Node 97, left: 8)
